6,0,8,2,10,5,5,2,5,2,6,0,6,6,0,13,15,17,7,4,4,2,7,0,11,4,6,2,4,2,5,2,5,7,2,12,14,14,4,5,5,5,0
28,0,19,10,2,6,14,13,14,10,17,11,17,17,11,2,4,6,4,15,15,13,16,11,0,7,17,10,15,13,14,10,14,16,10,3,5,5,7,14,14,14,0
8,0,12,5,6,2,9,6,9,5,10,4,10,10,4,9,11,13,3,8,8,6,11,4,7,0,10,5,8,6,9,5,9,11,5,8,10,10,0,9,9,9,0
3,0,2,7,16,11,3,4,3,7,0,6,0,0,6,19,21,23,13,2,2,4,2,6,17,10,0,7,2,4,3,7,3,2,7,18,20,20,10,3,3,3,0
23,0,9,0,11,4,4,3,4,0,7,2,7,7,2,12,14,16,6,5,5,3,6,2,10,5,7,0,5,3,4,0,4,6,0,13,15,15,5,4,4,4,0
4,0,4,5,14,9,2,2,2,5,2,4,2,2,4,17,19,21,11,0,0,2,3,4,15,8,2,5,0,2,2,5,2,3,5,16,18,18,8,2,2,2,0
5,0,6,3,12,7,3,0,3,3,4,2,4,4,2,15,17,19,9,2,2,0,5,2,13,6,4,3,2,0,3,3,3,5,3,14,16,16,6,3,3,3,0
21,0,5,4,15,8,0,3,0,4,3,5,3,3,5,16,18,20,10,2,2,3,2,5,14,9,3,4,2,3,0,4,0,2,4,17,19,19,9,0,0,0,0
23,0,9,0,11,4,4,3,4,0,7,2,7,7,2,12,14,16,6,5,5,3,6,2,10,5,7,0,5,3,4,0,4,6,0,13,15,15,5,4,4,4,0
21,0,5,4,15,8,0,3,0,4,3,5,3,3,5,16,18,20,10,2,2,3,2,5,14,9,3,4,2,3,0,4,0,2,4,17,19,19,9,0,0,0,0
20,0,3,6,17,10,2,5,2,6,2,7,2,2,7,18,20,22,12,3,3,5,0,7,16,11,2,6,3,5,2,6,2,0,6,19,21,21,11,2,2,2,0
23,0,9,0,11,4,4,3,4,0,7,2,7,7,2,12,14,16,6,5,5,3,6,2,10,5,7,0,5,3,4,0,4,6,0,13,15,15,5,4,4,4,0
12,0,20,13,2,9,17,14,17,13,18,12,18,18,12,2,3,5,7,16,16,14,19,12,3,8,18,13,16,14,17,13,17,19,13,0,2,2,8,17,17,17,0
13,0,22,15,4,11,19,16,19,15,20,14,20,20,14,3,2,3,9,18,18,16,21,14,5,10,20,15,18,16,19,15,19,21,15,2,0,0,10,19,19,19,0
13,0,22,15,4,11,19,16,19,15,20,14,20,20,14,3,2,3,9,18,18,16,21,14,5,10,20,15,18,16,19,15,19,21,15,2,0,0,10,19,19,19,0
8,0,12,5,6,2,9,6,9,5,10,4,10,10,4,9,11,13,3,8,8,6,11,4,7,0,10,5,8,6,9,5,9,11,5,8,10,10,0,9,9,9,0
21,0,5,4,15,8,0,3,0,4,3,5,3,3,5,16,18,20,10,2,2,3,2,5,14,9,3,4,2,3,0,4,0,2,4,17,19,19,9,0,0,0,0
21,0,5,4,15,8,0,3,0,4,3,5,3,3,5,16,18,20,10,2,2,3,2,5,14,9,3,4,2,3,0,4,0,2,4,17,19,19,9,0,0,0,0
21,0,5,4,15,8,0,3,0,4,3,5,3,3,5,16,18,20,10,2,2,3,2,5,14,9,3,4,2,3,0,4,0,2,4,17,19,19,9,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
