,34,2,23,11,25,21,5,21,23,3,6,3,3,6,29,30,31,26,4,4,5,20,6,28,8,3,23,4,5,21,23,21,20,23,12,13,13,8,21,21,21,34
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,9,18,13,5,6,5,9,2,8,2,2,8,21,23,25,15,4,4,6,3,8,19,12,2,9,4,6,5,9,5,3,9,20,22,22,12,5,5,5,0
23,0,9,0,11,4,4,3,4,0,7,2,7,7,2,12,14,16,6,5,5,3,6,2,10,5,7,0,5,3,4,0,4,6,0,13,15,15,5,4,4,4,0
11,0,18,11,0,7,15,12,15,11,16,10,16,16,10,3,5,7,5,14,14,12,17,10,2,6,16,11,14,12,15,11,15,17,11,2,4,4,6,15,15,15,0
25,0,13,4,7,0,8,7,8,4,11,5,11,11,5,8,10,12,2,9,9,7,10,5,6,2,11,4,9,7,8,4,8,10,4,9,11,11,2,8,8,8,0
21,0,5,4,15,8,0,3,0,4,3,5,3,3,5,16,18,20,10,2,2,3,2,5,14,9,3,4,2,3,0,4,0,2,4,17,19,19,9,0,0,0,0
5,0,6,3,12,7,3,0,3,3,4,2,4,4,2,15,17,19,9,2,2,0,5,2,13,6,4,3,2,0,3,3,3,5,3,14,16,16,6,3,3,3,0
21,0,5,4,15,8,0,3,0,4,3,5,3,3,5,16,18,20,10,2,2,3,2,5,14,9,3,4,2,3,0,4,0,2,4,17,19,19,9,0,0,0,0
23,0,9,0,11,4,4,3,4,0,7,2,7,7,2,12,14,16,6,5,5,3,6,2,10,5,7,0,5,3,4,0,4,6,0,13,15,15,5,4,4,4,0
3,0,2,7,16,11,3,4,3,7,0,6,0,0,6,19,21,23,13,2,2,4,2,6,17,10,0,7,2,4,3,7,3,2,7,18,20,20,10,3,3,3,0
6,0,8,2,10,5,5,2,5,2,6,0,6,6,0,13,15,17,7,4,4,2,7,0,11,4,6,2,4,2,5,2,5,7,2,12,14,14,4,5,5,5,0
3,0,2,7,16,11,3,4,3,7,0,6,0,0,6,19,21,23,13,2,2,4,2,6,17,10,0,7,2,4,3,7,3,2,7,18,20,20,10,3,3,3,0
3,0,2,7,16,11,3,4,3,7,0,6,0,0,6,19,21,23,13,2,2,4,2,6,17,10,0,7,2,4,3,7,3,2,7,18,20,20,10,3,3,3,0
6,0,8,2,10,5,5,2,5,2,6,0,6,6,0,13,15,17,7,4,4,2,7,0,11,4,6,2,4,2,5,2,5,7,2,12,14,14,4,5,5,5,0
29,0,21,12,3,8,16,15,16,12,19,13,19,19,13,0,2,4,6,17,17,15,18,13,2,9,19,12,17,15,16,12,16,18,12,2,3,3,9,16,16,16,0
30,0,23,14,5,10,18,17,18,14,21,15,21,21,15,2,0,2,8,19,19,17,20,15,4,11,21,14,19,17,18,14,18,20,14,3,2,2,11,18,18,18,0
31,0,25,16,7,12,20,19,20,16,23,17,23,23,17,4,2,0,10,21,21,19,22,17,6,13,23,16,21,19,20,16,20,22,16,5,3,3,13,20,20,20,0
26,0,15,6,5,2,10,9,10,6,13,7,13,13,7,6,8,10,0,11,11,9,12,7,4,3,13,6,11,9,10,6,10,12,6,7,9,9,3,10,10,10,0
4,0,4,5,14,9,2,2,2,5,2,4,2,2,4,17,19,21,11,0,0,2,3,4,15,8,2,5,0,2,2,5,2,3,5,16,18,18,8,2,2,2,0
4,0,4,5,14,9,2,2,2,5,2,4,2,2,4,17,19,21,11,0,0,2,3,4,15,8,2,5,0,2,2,5,2,3,5,16,18,18,8,2,2,2,0
5,0,6,3,12,7,3,0,3,3,4,2,4,4,2,15,17,19,9,2,2,0,5,2,13,6,4,3,2,0,3,3,3,5,3,14,16,16,6,3,3,3,0
20,0,3,6,17,10,2,5,2,6,2,7,2,2,7,18,20,22,12,3,3,5,0,7,16,11,2,6,3,5,2,6,2,0,6,19,21,21,11,2,2,2,0
